"","HZ","p_cm","expert","p_cm_val","expert_date","horizon_end_date","horizon_start_date","delay","total_horizon","month","type","reported_cases","score_bri","score_log"
"1","BUTEMBO",">=10",4,0,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",1,1,-23.0258509299405
"2","BUTEMBO",">=10",8,0,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",1,1,-23.0258509299405
"3","BUTEMBO",">=2",4,0.45,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",1,0.55,-0.798507696439994
"4","BUTEMBO",">=2",8,0.5,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",1,0.5,-0.693147180759945
"5","BUTEMBO",">=20",4,0,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",0,0,-1.00000008279037e-10
"6","BUTEMBO",">=20",8,0,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",0,0,-1.00000008279037e-10
"7","BUTEMBO",">=6",4,0,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",1,1,-23.0258509299405
"8","BUTEMBO",">=6",8,0,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",1,1,-23.0258509299405
"9","KATWA",">=10",4,0,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",0,0,-1.00000008279037e-10
"10","KATWA",">=10",8,0,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",0,0,-1.00000008279037e-10
"11","KATWA",">=2",4,0.5,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",1,0.5,-0.693147180759945
"12","KATWA",">=2",8,0.5,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",1,0.5,-0.693147180759945
"13","KATWA",">=20",4,0,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",0,0,-1.00000008279037e-10
"14","KATWA",">=20",8,0,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",0,0,-1.00000008279037e-10
"15","KATWA",">=6",4,0,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",0,0,-1.00000008279037e-10
"16","KATWA",">=6",8,0,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",0,0,-1.00000008279037e-10
"17","KOMANDA",">=10",1,0,2019-11-11,2019-12-31,2019-12-01,20,50,"December_2019","expert",0,0,-1.00000008279037e-10
"18","KOMANDA",">=10",2,0,2019-11-12,2019-12-31,2019-12-01,19,49,"December_2019","expert",0,0,-1.00000008279037e-10
"19","KOMANDA",">=10",10,0,2019-11-14,2019-12-31,2019-12-01,17,47,"December_2019","expert",0,0,-1.00000008279037e-10
"20","KOMANDA",">=10",3,0,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",0,0,-1.00000008279037e-10
"21","KOMANDA",">=10",9,0,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",0,0,-1.00000008279037e-10
"22","KOMANDA",">=2",1,0.8,2019-11-11,2019-12-31,2019-12-01,20,50,"December_2019","expert",0,0.8,-1.6094379119341
"23","KOMANDA",">=2",10,0.45,2019-11-14,2019-12-31,2019-12-01,17,47,"December_2019","expert",0,0.45,-0.597837000573802
"24","KOMANDA",">=2",2,0.6,2019-11-12,2019-12-31,2019-12-01,19,49,"December_2019","expert",0,0.6,-0.916290731624155
"25","KOMANDA",">=2",3,0,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",0,0,-1.00000008279037e-10
"26","KOMANDA",">=2",9,0.3,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",0,0.3,-0.356674943795875
"27","KOMANDA",">=20",1,0,2019-11-11,2019-12-31,2019-12-01,20,50,"December_2019","expert",0,0,-1.00000008279037e-10
"28","KOMANDA",">=20",2,0,2019-11-12,2019-12-31,2019-12-01,19,49,"December_2019","expert",0,0,-1.00000008279037e-10
"29","KOMANDA",">=20",10,0,2019-11-14,2019-12-31,2019-12-01,17,47,"December_2019","expert",0,0,-1.00000008279037e-10
"30","KOMANDA",">=20",3,0,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",0,0,-1.00000008279037e-10
"31","KOMANDA",">=20",9,0,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",0,0,-1.00000008279037e-10
"32","KOMANDA",">=6",1,0.4,2019-11-11,2019-12-31,2019-12-01,20,50,"December_2019","expert",0,0.4,-0.510825623599324
"33","KOMANDA",">=6",2,0.1,2019-11-12,2019-12-31,2019-12-01,19,49,"December_2019","expert",0,0.1,-0.105360515546715
"34","KOMANDA",">=6",10,0,2019-11-14,2019-12-31,2019-12-01,17,47,"December_2019","expert",0,0,-1.00000008279037e-10
"35","KOMANDA",">=6",3,0,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",0,0,-1.00000008279037e-10
"36","KOMANDA",">=6",9,0,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",0,0,-1.00000008279037e-10
"37","LOLWA",">=10",3,0,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",0,0,-1.00000008279037e-10
